Book_ID,Issued,Title,Authors,Genres
7717,2005-03-01,The Last of the Barons — Volume 03,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",Historical Fiction
7718,2005-03-01,The Last of the Barons — Volume 04,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",Historical Fiction
7719,2005-03-01,The Last of the Barons — Volume 05,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",Historical Fiction
7720,2005-03-01,The Last of the Barons — Volume 06,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",Historical Fiction
7721,2005-03-01,The Last of the Barons — Volume 07,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",Historical Fiction
7722,2005-03-01,The Last of the Barons — Volume 08,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",Historical Fiction
7723,2005-03-01,The Last of the Barons — Volume 09,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",Historical Fiction
7724,2005-03-01,The Last of the Barons — Volume 10,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",Historical Fiction
7725,2005-03-01,The Last of the Barons — Volume 11,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",Historical Fiction
7726,2005-03-01,The Last of the Barons — Volume 12,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",Historical Fiction
7727,2004-11-26,The Last of the Barons — Complete,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",Historical Fiction
7737,2005-03-01,The Parisians — Volume 01,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",Historical Fiction
7738,2005-03-01,The Parisians — Volume 02,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",Historical Fiction
7739,2005-03-01,The Parisians — Volume 03,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",Historical Fiction
7740,2005-03-01,The Parisians — Volume 04,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",Historical Fiction
7741,2005-03-01,The Parisians — Volume 05,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",Historical Fiction
7742,2005-03-01,The Parisians — Volume 06,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",Historical Fiction
7743,2005-03-01,The Parisians — Volume 07,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",Historical Fiction
7744,2005-03-01,The Parisians — Volume 08,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",Historical Fiction
7745,2005-03-01,The Parisians — Volume 09,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",Historical Fiction
7746,2005-03-01,The Parisians — Volume 10,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",Historical Fiction
7747,2005-03-01,The Parisians — Volume 11,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",Historical Fiction
7748,2005-03-01,The Parisians — Volume 12,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",Historical Fiction
7749,2004-11-27,The Parisians — Complete,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",Historical Fiction
7766,2005-03-01,A Dog of Flanders,"Ouida, 1839-1908",Children's Literature; Animals-Domestic
7777,2005-03-01,"Narrative of the Voyages Round the World, Performed by Captain James CookWith an Account of His Life During the Previous and Intervening Periods","Kippis, Andrew, 1725-1795",Australia; New Zealand
7783,2005-03-01,Birch Bark Legends of Niagara,Owahyah,Folklore; Native America
7785,2005-03-01,Leonardo Da Vinci,"Brockwell, Maurice W., 1869-1958",Masterpieces in Colour
7803,2005-04-01,The Story of Sugar,"Bassett, Sara Ware, 1872-1968",Children's Instructional Books
7805,2005-04-01,First Plays,"Milne, A. A. (Alan Alexander), 1882-1956",One Act Plays
7815,2005-04-01,"Hereward, the Last of the English","Kingsley, Charles, 1819-1875",Historical Fiction
7820,2005-04-01,Monitress Merle,"Brazil, Angela, 1869-1947",Children's Fiction; School Stories
7823,2005-04-01,"The Attaché; or, Sam Slick in England — Complete","Haliburton, Thomas Chandler, 1796-1865",Canada
7825,2005-04-01,Geometrical Solutions Derived from Mechanics; a Treatise of Archimedes,"Archimedes, 280? BCE-211? BCE; Smith, David Eugene, 1860-1944 [Author of introduction, etc.]; Heiberg, J. L. (Johan Ludvig), 1854-1928 [Translator]; Robinson, Lydia Gillingham, 1875- [Translator]",Mathematics
7826,2005-04-01,L.P.M. : The End of the Great War,"Barney, J. Stewart (John Stewart), 1867-1925",World War I
7831,2005-04-01,When London Burned : a Story of Restoration Times and the Great Fire,"Henty, G. A. (George Alfred), 1832-1902",Children's Fiction
7833,2005-04-01,Samantha on the Woman Question,"Holley, Marietta, 1836-1926",Humor
7834,2005-04-01,"Wagner's ""Tristan und Isolde"": An Essay on the Wagnerian Drama","Hight, George Ainslie, 1851-1937",Opera
